"Story","Title","Result","Date","Stability","Duration (s)"
"candidato","Registro nuevo candidato","SUCCESS","2024-07-15T16:05:27.0577014-05:00[America/Bogota]","0.0","5.21"
"login prueba","inicion sesion satisfactoriamente","SUCCESS","2024-07-13T09:36:16.9343434-05:00[America/Bogota]","0.0","3.26"
